,spec100,spec250,spec500,spec1000,spec2000,spec3000
LinearSVC,0.49500000000000083,0.48175000000000096,0.5140000000000008,0.5480000000000014,0.5217500000000014,0.5397500000000011
KNeighborsClassifier,0.7382500000000001,0.7169999999999999,0.8922500000000005,0.9267500000000003,0.9297499999999999,0.9332500000000004
MultinomialNB,0.49400000000000105,0.48700000000000115,0.4665000000000007,0.5535000000000015,0.5250000000000015,0.5420000000000011
GaussianNB,0.8880000000000002,0.9324999999999996,0.9312499999999997,0.9234999999999998,0.9302499999999998,0.9395
DecisionTreeClassifier,0.79175,0.8952499999999997,0.8792500000000006,0.8694999999999999,0.8695000000000007,0.8855000000000003
RandomForestClassifier,0.8325000000000006,0.9032500000000002,0.91975,0.9175000000000004,0.91475,0.9210000000000004
avg,0.7065833333333329,0.7361249999999994,0.7671666666666661,0.7897916666666669,0.7818333333333327,0.7935
