,spec100,spec250,spec500,spec1000,spec2000,spec3000
KNeighborsClassifier,0.7364999999999994,0.7367500000000002,0.9012499999999999,0.9279999999999998,0.9295000000000002,0.9340000000000004
GaussianNB,0.8929999999999992,0.9327499999999993,0.9342499999999996,0.9377500000000001,0.9304999999999999,0.9415000000000002
DecisionTreeClassifier,0.7974999999999999,0.8782500000000004,0.8742500000000009,0.8632500000000001,0.8827500000000009,0.8877500000000009
RandomForestClassifier,0.8449999999999998,0.8975,0.9212500000000005,0.9167499999999997,0.9255,0.9247500000000001
avg,0.8180000000000001,0.8613124999999997,0.9077500000000002,0.9114375000000007,0.9170625000000001,0.9219999999999997
