,spec100,spec250,spec500,spec1000,spec2000,spec3000
KNeighborsClassifier,0.7459999999999996,0.7549999999999991,0.7117500000000001,0.7412499999999995,0.9914999999999996,0.9544999999999993
GaussianNB,0.9534999999999997,0.9422499999999998,0.9189999999999996,0.8752500000000005,0.8940000000000005,0.8632499999999997
DecisionTreeClassifier,0.8485000000000005,0.8347500000000001,0.8277500000000002,0.8305000000000008,0.8375,0.8480000000000004
RandomForestClassifier,0.8859999999999998,0.9242500000000003,0.9237499999999998,0.9362499999999996,0.9377499999999992,0.9154999999999995
avg,0.8584999999999995,0.8640625,0.8455624999999998,0.8458125000000003,0.9151875000000003,0.8953124999999997
