,spec100,spec250,spec500,spec1000,spec2000,spec3000
LinearSVC,0.5097500000000007,0.48725000000000107,0.5425000000000005,0.5610000000000014,0.538000000000001,0.5580000000000012
KNeighborsClassifier,0.7414999999999999,0.7239999999999993,0.8825000000000002,0.9190000000000004,0.9262499999999999,0.9359999999999995
GaussianNB,0.8892499999999995,0.9377499999999996,0.9317499999999993,0.9300000000000007,0.9309999999999996,0.9360000000000004
DecisionTreeClassifier,0.7929999999999996,0.8937500000000007,0.8645000000000006,0.8552500000000006,0.8825000000000007,0.8862499999999998
RandomForestClassifier,0.8410000000000001,0.9172500000000002,0.9169999999999999,0.90675,0.9157500000000001,0.931249999999999
avg,0.7548999999999998,0.792,0.8276499999999998,0.8344000000000003,0.8387000000000008,0.8494999999999996
