,spec100,spec250,spec500,spec1000,spec2000,spec3000
LinearSVC,0.5103125,0.4671875,0.4653125,0.4915625,0.555,0.554375
KNeighborsClassifier,0.8084375,0.79125,0.7503125,0.754375,0.9915625,0.9540625
MultinomialNB,0.5040625,0.466875,0.4675,0.4790625,0.5540625,0.5534375
GaussianNB,0.965625,0.949375,0.9440625,0.9178125,0.910625,0.888125
DecisionTreeClassifier,0.865,0.845,0.8409375,0.839375,0.84625,0.8575
RandomForestClassifier,0.89125,0.9359375,0.9353125,0.925625,0.941875,0.92625
avg,0.7574479166666667,0.7426041666666668,0.7339062499999999,0.7346354166666663,0.7998958333333331,0.788958333333333
