,spec100,spec250,spec500,spec1000,spec2000,spec3000
SVC,0.4940000000000008,0.4642500000000006,0.49425000000000074,0.5185000000000012,0.5392500000000015,0.5560000000000014
KNeighborsClassifier,0.7292500000000003,0.7215,0.8947500000000003,0.9212499999999997,0.9239999999999998,0.9329999999999999
GaussianNB,0.8897499999999998,0.9327499999999996,0.9302499999999996,0.9295,0.9299999999999996,0.9399999999999997
DecisionTreeClassifier,0.7985000000000005,0.8922500000000002,0.863750000000001,0.8712500000000009,0.8727499999999996,0.8850000000000002
RandomForestClassifier,0.8347499999999997,0.9027500000000004,0.91825,0.91775,0.9112499999999999,0.9249999999999998
avg,0.74925,0.7827,0.8202500000000001,0.8316500000000007,0.8354499999999997,0.8477999999999996
