,spec100,spec250,spec500,spec1000,spec2000,spec3000
LinearSVC,0.5142500000000009,0.49875000000000097,0.493000000000001,0.5072500000000009,0.529750000000001,0.5552500000000012
KNeighborsClassifier,0.7552500000000002,0.7602500000000001,0.7002499999999999,0.7337500000000001,0.9914999999999994,0.9532500000000002
MultinomialNB,0.514000000000001,0.49950000000000094,0.4980000000000011,0.49525000000000086,0.529000000000001,0.5580000000000013
GaussianNB,0.9539999999999997,0.9399999999999997,0.922,0.8874999999999994,0.8887499999999997,0.8795000000000001
DecisionTreeClassifier,0.8597500000000009,0.8255000000000007,0.8335000000000005,0.8342500000000003,0.8445000000000005,0.8410000000000004
RandomForestClassifier,0.8875000000000003,0.9297499999999996,0.9232499999999998,0.9232500000000005,0.9227499999999995,0.9194999999999999
avg,0.7474583333333336,0.7422916666666662,0.7283333333333327,0.7302083333333331,0.7843749999999997,0.7844166666666665
