,spec100,spec250,spec500,spec1000,spec2000,spec3000
SVC,0.49575000000000075,0.4897500000000011,0.48175000000000073,0.4927500000000011,0.5340000000000013,0.5670000000000013
KNeighborsClassifier,0.7427499999999995,0.7682499999999997,0.69,0.7282499999999997,0.9904999999999998,0.9507499999999997
GaussianNB,0.9534999999999996,0.9377500000000001,0.9272499999999998,0.89375,0.87875,0.8784999999999996
DecisionTreeClassifier,0.8402500000000002,0.8380000000000006,0.8415000000000009,0.8387500000000011,0.8360000000000001,0.8340000000000003
RandomForestClassifier,0.8767499999999998,0.9187499999999998,0.9285000000000001,0.9199999999999997,0.9342499999999994,0.9092499999999998
avg,0.7817999999999996,0.7905000000000002,0.7738000000000007,0.7746999999999996,0.8346999999999997,0.8279000000000005
