,spec100,spec250,spec500,spec1000,spec2000,spec3000
LinearSVC,0.47125,0.483125,0.455625,0.494375,0.51125,0.560625
KNeighborsClassifier,0.645625,0.67,0.5925,0.68375,0.98,0.985625
MultinomialNB,0.4775,0.488125,0.473125,0.4875,0.51375,0.566875
GaussianNB,0.96875,0.96375,0.89875,0.8475,0.808125,0.80125
DecisionTreeClassifier,0.874375,0.861875,0.851875,0.89375,0.906875,0.8975
RandomForestClassifier,0.914375,0.94875,0.95875,0.969375,0.98625,0.97125
avg,0.7253125000000001,0.7359374999999999,0.7051041666666669,0.7293750000000003,0.7843749999999996,0.7971875000000002
