spec100,"Index(['are', 'by', 'carter', 'did', 'had', 'have', 'he', 'i', 'is', 'it',
       'me', 'my', 'old', 'on', 'they', 'things', 'this', 'those', 'though',
       'thus', 'upon', 'was', 'were', 'which'],
      dtype='object')"
spec250,"Index(['almost', 'although', 'are', 'carter', 'did', 'had', 'has', 'i', 'is',
       'me', 'my', 'old', 'on', 'seemed', 'should', 'strange', 'they',
       'things', 'this', 'those', 'though', 'thus', 'upon', 'will'],
      dtype='object')"
spec500,"Index(['almost', 'although', 'ancient', 'are', 'curious', 'did', 'has', 'i',
       'is', 'later', 'length', 'me', 'my', 'old', 'on', 'should', 'strange',
       'they', 'things', 'those', 'though', 'thus', 'upon', 'will'],
      dtype='object')"
spec1000,"Index(['almost', 'although', 'ancient', 'attention', 'began', 'curious', 'has',
       'idea', 'later', 'length', 'manner', 'monstrous', 'my', 'old',
       'outside', 'should', 'strange', 'though', 'thus', 'toward', 'until',
       'upon', 'whose', 'will'],
      dtype='object')"
spec2000,"Index(['almost', 'although', 'ancient', 'attention', 'curious', 'difficulty',
       'idea', 'immediately', 'later', 'length', 'manner', 'monstrous',
       'outside', 'portion', 'queer', 'regard', 'should', 'though', 'thus',
       'told', 'toward', 'unknown', 'until', 'wholly'],
      dtype='object')"
spec3000,"Index(['almost', 'although', 'ancient', 'arose', 'attention', 'began',
       'curious', 'difficulty', 'idea', 'immediately', 'later', 'manner',
       'monstrous', 'outside', 'portion', 'queer', 'regard', 'should',
       'therefore', 'though', 'thus', 'told', 'unknown', 'wholly'],
      dtype='object')"
