,spec100,spec250,spec500,spec1000,spec2000,spec3000
LinearSVC,0.49250000000000044,0.49500000000000083,0.4700000000000007,0.5102500000000009,0.5465000000000008,0.5462500000000012
KNeighborsClassifier,0.7387500000000001,0.7662500000000001,0.7085000000000004,0.721,0.9922499999999996,0.9532499999999993
MultinomialNB,0.49250000000000066,0.5017500000000011,0.47425000000000084,0.49925000000000097,0.5447500000000008,0.5460000000000013
GaussianNB,0.9532499999999996,0.9377499999999995,0.9274999999999998,0.8910000000000002,0.8772500000000004,0.8662499999999997
DecisionTreeClassifier,0.8477500000000009,0.8374999999999999,0.8292499999999999,0.8327500000000001,0.8322499999999999,0.8464999999999999
RandomForestClassifier,0.8735,0.9282499999999996,0.9307499999999997,0.9249999999999997,0.935,0.9207499999999996
avg,0.733041666666666,0.7444166666666664,0.7233750000000001,0.7298749999999995,0.7879999999999999,0.7798333333333334
