,spec100,spec250,spec500,spec1000,spec2000,spec3000
LinearSVC,0.49625,0.506875,0.493125,0.47625,0.416875,0.53625
KNeighborsClassifier,0.673125,0.669375,0.6625,0.6175,0.5075,0.795
MultinomialNB,0.46625,0.5025,0.466875,0.4375,0.42,0.521875
GaussianNB,0.770625,0.751875,0.740625,0.74625,0.695625,0.76
DecisionTreeClassifier,0.826875,0.81125,0.820625,0.840625,0.88,0.860625
RandomForestClassifier,0.93125,0.915,0.9425,0.946875,0.959375,0.97625
avg,0.6940624999999998,0.6928125,0.6877083333333331,0.6775,0.6465625,0.7416666666666665
