,spec100,spec250,spec500,spec1000,spec2000,spec3000
KNeighborsClassifier,0.7580000000000006,0.77425,0.705,0.7302500000000003,0.9919999999999998,0.9509999999999996
GaussianNB,0.9487499999999999,0.9392499999999999,0.9229999999999999,0.8859999999999997,0.8882499999999997,0.8717500000000002
DecisionTreeClassifier,0.8477500000000007,0.8372499999999999,0.8287500000000003,0.8285000000000003,0.83075,0.8395000000000001
RandomForestClassifier,0.8844999999999995,0.9300000000000002,0.9247500000000004,0.9200000000000002,0.9345,0.91825
avg,0.8597499999999997,0.8701875,0.8453750000000003,0.8411874999999996,0.911375,0.8951250000000003
