,spec100,spec250,spec500,spec1000,spec2000,spec3000
KNeighborsClassifier,0.7540000000000002,0.7434999999999999,0.8962500000000001,0.9309999999999996,0.9277500000000001,0.9337499999999995
GaussianNB,0.8747500000000001,0.9344999999999999,0.9339999999999996,0.9279999999999998,0.9332499999999997,0.9400000000000002
DecisionTreeClassifier,0.7879999999999996,0.8817500000000008,0.8755000000000004,0.8667500000000001,0.8640000000000008,0.8945000000000001
RandomForestClassifier,0.8287499999999995,0.8954999999999993,0.9225,0.9169999999999999,0.91625,0.9289999999999999
avg,0.8113750000000002,0.8638124999999994,0.9070625000000002,0.9106875000000003,0.9103124999999999,0.9243124999999998
