,spec100,spec250,spec500,spec1000,spec2000,spec3000
LinearSVC,0.479375,0.483125,0.485625,0.499375,0.5559375,0.5275
KNeighborsClassifier,0.771875,0.7940625,0.7478125,0.763125,0.993125,0.9525
MultinomialNB,0.470625,0.474375,0.470625,0.4815625,0.55625,0.5275
GaussianNB,0.9590625,0.955,0.9384375,0.9159375,0.909375,0.8909375
DecisionTreeClassifier,0.865625,0.844375,0.83375,0.8528125,0.8428125,0.8540625
RandomForestClassifier,0.9003125,0.93375,0.9309375,0.9334375,0.9403125,0.9165625
avg,0.7411458333333332,0.7474479166666671,0.7345312499999999,0.7410416666666667,0.7996354166666666,0.778177083333333
