,spec100,spec250,spec500,spec1000,spec2000,spec3000
LinearSVC,0.5145833333333336,0.48958333333333376,0.476666666666667,0.49500000000000016,0.5983333333333336,0.5350000000000004
KNeighborsClassifier,0.7670833333333331,0.7779166666666668,0.7087499999999999,0.8266666666666667,0.9904166666666666,0.9966666666666666
MultinomialNB,0.5087500000000004,0.49333333333333373,0.4612500000000004,0.4870833333333337,0.6016666666666669,0.5350000000000004
GaussianNB,0.9583333333333328,0.9741666666666662,0.9191666666666661,0.8991666666666661,0.8624999999999997,0.885416666666666
DecisionTreeClassifier,0.8762499999999993,0.854583333333333,0.8595833333333335,0.8529166666666668,0.8908333333333331,0.8874999999999994
RandomForestClassifier,0.9124999999999998,0.940833333333333,0.9487499999999995,0.9633333333333327,0.9674999999999998,0.9633333333333332
avg,0.7562499999999998,0.7550694444444445,0.729027777777778,0.7540277777777773,0.8185416666666668,0.8004861111111106
