,spec100,spec250,spec500,spec1000,spec2000,spec3000
a,0.02970294261550288,0.0009331840238895328,-0.0028409090909090606,0.0,0.0,0.0
aa,-0.0003508771929824561,-0.0008771929824561404,-0.0017482517482517483,-0.0035087719298245615,-0.007042253521126761,-0.010416666666666666
aaron,-0.0003508771929824561,-0.0008771929824561404,-0.0017482517482517483,-0.0035087719298245615,-0.007042253521126761,-0.010416666666666666
aback,0.0005691519635742744,0.0014184397163120568,0.002840909090909091,0.005813953488372093,0.011235955056179775,0.017241379310344827
abandon,0.002931432166072552,0.007297499066815977,0.014641608391608392,0.030171358629130972,0.04628896977369837,0.0894396551724138
abandoned,-0.0021603810322619295,-0.004572601717058604,-0.009396853146853148,-0.016646266829865364,-0.03687292293084349,-0.056393678160919544
abandoning,0.0004365495411836365,0.001082493467711833,0.0021853146853146855,0.004610363117095063,0.008387403070106028,0.013649425287356323
abandonment,-0.0010526315789473684,-0.002631578947368421,-0.005244755244755245,-0.010526315789473684,-0.02112676056338028,-0.03125
abaout,-0.00631578947368421,-0.014035087719298246,-0.022727272727272728,-0.03859649122807018,-0.056338028169014086,-0.08333333333333333
abased,0.0005691519635742744,0.0014184397163120568,0.002840909090909091,0.005813953488372093,0.011235955056179775,0.017241379310344827
abasement,0.0005691519635742744,0.0014184397163120568,0.002840909090909091,0.005813953488372093,0.011235955056179775,0.017241379310344827
abate,-0.0007017543859649122,-0.0017543859649122807,-0.0034965034965034965,-0.007017543859649123,-0.014084507042253521,-0.020833333333333332
abated,-0.0011852340013380064,-0.0029675251959686445,-0.005900349650349651,-0.011729906160750713,-0.02397531254945403,-0.03484195402298851
abatement,-0.0007017543859649122,-0.0017543859649122807,-0.0034965034965034965,-0.007017543859649123,-0.014084507042253521,-0.020833333333333332
abbey,0.00021827477059181824,0.0005412467338559165,0.0010926573426573427,0.0023051815585475315,0.004193701535053014,0.006824712643678161
abbeys,0.0005691519635742744,0.0014184397163120568,0.002840909090909091,0.005813953488372093,0.011235955056179775,0.017241379310344827
abbott,-0.0003508771929824561,-0.0008771929824561404,-0.0017482517482517483,-0.0035087719298245615,-0.007042253521126761,-0.010416666666666666
abbreviation,0.0011383039271485487,0.0014184397163120568,0.002840909090909091,0.005813953488372093,0.011235955056179775,0.017241379310344827
abdomen,0.00021827477059181824,0.0005412467338559165,0.0010926573426573427,0.0023051815585475315,0.004193701535053014,0.006824712643678161
abdool,-0.0003508771929824561,-0.0008771929824561404,-0.0017482517482517483,-0.0035087719298245615,-0.007042253521126761,-0.010416666666666666
abdul,-0.002807017543859649,-0.007017543859649123,-0.013986013986013986,-0.028070175438596492,-0.056338028169014086,-0.08333333333333333
abernethy,0.0011383039271485487,0.0014184397163120568,0.002840909090909091,0.005813953488372093,0.011235955056179775,0.017241379310344827
aberrancy,-0.0003508771929824561,-0.0008771929824561404,-0.0017482517482517483,-0.0035087719298245615,-0.007042253521126761,-0.010416666666666666
aberrant,-0.0007017543859649122,-0.0017543859649122807,-0.0034965034965034965,-0.007017543859649123,-0.014084507042253521,-0.020833333333333332
aberration,-0.00013260242239063788,-0.0003359462486002239,-0.0006555944055944055,-0.00120359037127703,-0.0028485519860737465,-0.003591954022988505
abetted,-0.0010526315789473684,-0.002631578947368421,-0.005244755244755245,-0.010526315789473684,-0.02112676056338028,-0.03125
abeyance,0.0022766078542970974,0.005673758865248227,0.011363636363636364,0.01744186046511628,0.0449438202247191,0.05172413793103448
abhor,-0.0003508771929824561,-0.0008771929824561404,-0.0017482517482517483,-0.0035087719298245615,-0.007042253521126761,-0.010416666666666666
abhorred,-0.002456140350877193,-0.0061403508771929825,-0.012237762237762238,-0.02456140350877193,-0.04929577464788732,-0.07291666666666667
abhorrence,0.0007874267341660926,0.001959686450167973,0.003933566433566434,0.008119135046919624,0.015429656591232788,0.02406609195402299
abhorrent,-0.002456140350877193,-0.0061403508771929825,-0.012237762237762238,-0.02456140350877193,-0.04929577464788732,-0.07291666666666667
abide,0.0005691519635742744,0.0014184397163120568,0.002840909090909091,0.005813953488372093,0.011235955056179775,0.017241379310344827
abigail,-0.0007017543859649122,-0.0017543859649122807,-0.0017482517482517483,-0.0035087719298245615,-0.007042253521126761,-0.010416666666666666
abijah,-0.0003508771929824561,-0.0008771929824561404,-0.0017482517482517483,-0.0035087719298245615,-0.007042253521126761,-0.010416666666666666
abilities,0.0005691519635742744,0.0014184397163120568,0.002840909090909091,0.005813953488372093,0.011235955056179775,0.017241379310344827
ability,0.004638888056795375,0.011552818215752146,0.020323426573426576,0.03598531211750306,0.057524924829878143,0.0894396551724138
abject,0.0011383039271485487,0.0028368794326241137,0.005681818181818182,0.005813953488372093,0.011235955056179775,0.034482758620689655
able,-0.012172662732528532,-0.02790220231429638,-0.05179195804195805,-0.10707874337005305,-0.20620351321411617,-0.2517959770114942
abnormal,-0.010487573515461963,-0.02624113475177305,-0.04873251748251749,-0.10656874745002039,-0.19449279949359075,-0.29561781609195403
abnormalities,-0.0035087719298245615,-0.008771929824561403,-0.017482517482517484,-0.03508771929824561,-0.06338028169014084,-0.10416666666666667
abnormality,-0.004210526315789474,-0.010526315789473684,-0.02097902097902098,-0.042105263157894736,-0.07746478873239436,-0.125
abnormally,-0.002807017543859649,-0.007017543859649123,-0.013986013986013986,-0.028070175438596492,-0.04929577464788732,-0.07291666666666667
aboard,-0.0017543859649122807,-0.0043859649122807015,-0.008741258741258742,-0.017543859649122806,-0.035211267605633804,-0.052083333333333336
abode,-0.002456140350877193,-0.0061403508771929825,-0.012237762237762238,-0.02456140350877193,-0.04929577464788732,-0.07291666666666667
abodes,-0.0007017543859649122,-0.0017543859649122807,-0.0034965034965034965,-0.007017543859649123,-0.014084507042253521,-0.020833333333333332
abominable,-0.003290497159232743,-0.008230683090705487,-0.01638986013986014,-0.03278253773969808,-0.06622883367621459,-0.09734195402298851
abominably,-0.0010526315789473684,-0.002631578947368421,-0.005244755244755245,-0.010526315789473684,-0.02112676056338028,-0.03125
abomination,-0.0017543859649122807,-0.0043859649122807015,-0.008741258741258742,-0.017543859649122806,-0.035211267605633804,-0.03125
abominations,-0.0014035087719298245,-0.0035087719298245615,-0.006993006993006993,-0.014035087719298246,-0.02112676056338028,-0.041666666666666664
abortive,0.0005691519635742744,0.0014184397163120568,0.002840909090909091,0.005813953488372093,0.011235955056179775,0.017241379310344827
abound,0.0011383039271485487,0.0028368794326241137,0.005681818181818182,0.011627906976744186,0.02247191011235955,0.034482758620689655
abounded,-0.0003508771929824561,-0.0008771929824561404,-0.0017482517482517483,-0.0035087719298245615,-0.007042253521126761,-0.010416666666666666
abounding,0.00021827477059181824,0.0005412467338559165,0.0010926573426573427,0.0023051815585475315,0.004193701535053014,0.006824712643678161
abounds,0.0011383039271485487,0.0028368794326241137,0.005681818181818182,0.011627906976744186,0.02247191011235955,0.034482758620689655
about,-0.002018592297476779,0.027174318775662565,0.03343531468531469,-0.008200734394124831,-0.060215223927836625,-0.020474137931034475
aboute,-0.0007017543859649122,-0.0017543859649122807,-0.0034965034965034965,-0.007017543859649123,-0.014084507042253521,-0.020833333333333332
above,-0.02284196547144754,-0.04712579320642031,-0.07888986013986013,-0.10138718890248877,-0.088938123120747,-0.005028735632183867
abraham,-0.0003508771929824561,-0.0008771929824561404,-0.0017482517482517483,-0.0035087719298245615,-0.007042253521126761,-0.010416666666666666
abreast,-0.0003508771929824561,-0.0008771929824561404,-0.0017482517482517483,-0.0035087719298245615,-0.007042253521126761,-0.010416666666666666
abroad,-0.0011464917273262833,-0.0028928704740574848,-0.008522727272727274,-0.02235822113423093,-0.01004905839531571,-0.038793103448275856
abrupt,0.0006548243117754547,0.0016237402015677493,0.003277972027972027,0.006915544675642595,0.012581104605159044,0.020474137931034482
abruptly,-0.0008425446085332852,-0.0021463232549458755,-0.0041520979020979,-0.013137494900040798,-0.03117581895869599,-0.08045977011494251
abruptness,-0.0007017543859649122,-0.0017543859649122807,-0.0034965034965034965,-0.007017543859649123,-0.014084507042253521,-0.020833333333333332
absconded,0.0005691519635742744,0.0014184397163120568,0.002840909090909091,0.005813953488372093,0.011235955056179775,0.017241379310344827
absence,0.0037494133740726323,0.007857409481149685,0.010270979020979024,0.026254589963280298,0.04731761354644723,0.0675287356321839
absences,-0.00013260242239063788,-0.0003359462486002239,-0.0006555944055944055,-0.00120359037127703,-0.0028485519860737465,-0.003591954022988505
absent,-0.003470029655812839,-0.008697275102650243,-0.017263986013986016,-0.030579355365157077,-0.04945402753600253,-0.08045977011494251
absented,0.0005691519635742744,0.0014184397163120568,0.002840909090909091,0.005813953488372093,0.011235955056179775,0.017241379310344827
absolute,0.010236547544159202,0.025475923852183648,0.04829545454545455,0.09392084863321093,0.15144801392625415,0.21982758620689657
absolutely,0.012029675783083206,0.029936543486375512,0.0458916083916084,0.07527539779681763,0.1232789998417471,0.20581896551724138
absolved,0.0005691519635742744,0.0028368794326241137,0.005681818181818182,0.005813953488372093,0.011235955056179775,0.034482758620689655
absorb,-0.0007017543859649122,-0.0017543859649122807,-0.0034965034965034965,-0.007017543859649123,-0.014084507042253521,-0.020833333333333332
absorbed,0.007570320222867927,0.018850317282568124,0.029283216783216784,0.05452876376988984,0.10381389460357651,0.10991379310344829
absorbing,-0.000616082037763732,-0.0015490854796565878,-0.00305944055944056,-0.00591595267237862,-0.012739357493274255,-0.01760057471264368
absorbingly,-0.0003508771929824561,-0.0008771929824561404,-0.0017482517482517483,-0.0035087719298245615,-0.007042253521126761,-0.010416666666666666
absorption,-0.0010526315789473684,-0.002631578947368421,-0.005244755244755245,-0.010526315789473684,-0.02112676056338028,-0.03125
absorptive,-0.0003508771929824561,-0.0008771929824561404,-0.0017482517482517483,-0.0035087719298245615,-0.007042253521126761,-0.010416666666666666
abstract,0.0003896194669941785,0.000951847704367301,0.001966783216783216,0.004508363933088535,0.009732552619085295,0.027298850574712645
abstracted,0.00021827477059181824,0.0005412467338559165,0.0010926573426573427,0.0023051815585475315,0.004193701535053014,0.006824712643678161
abstraction,0.00306403458846319,0.0076334453154162,0.015297202797202796,0.025560995512035903,0.06037347681595189,0.058548850574712645
abstractions,0.0011383039271485487,0.0028368794326241137,0.005681818181818182,0.011627906976744186,0.02247191011235955,0.034482758620689655
abstractly,0.0005691519635742744,0.0014184397163120568,0.002840909090909091,0.005813953488372093,0.011235955056179775,0.017241379310344827
abstruse,0.0003039471187929986,0.0007465472191116088,0.003277972027972027,0.006915544675642595,0.012581104605159044,0.020474137931034482
abstruseness,0.0005691519635742744,0.0014184397163120568,0.002840909090909091,0.005813953488372093,0.011235955056179775,0.017241379310344827
absurd,0.0013953209717520896,0.0034527808883911913,0.006993006993006992,0.01493268053855569,0.026507358759297356,0.04418103448275862
absurdities,0.0005691519635742744,0.0014184397163120568,0.002840909090909091,0.005813953488372093,0.011235955056179775,0.017241379310344827
absurdity,0.0004365495411836365,0.001082493467711833,0.0021853146853146855,0.004610363117095063,0.008387403070106028,-0.003591954022988505
absurdly,8.567234820118031e-05,0.00020530048525569267,0.000437062937062937,0.001101591187270502,0.0013451495489792686,0.0032327586206896547
abt,-0.0003508771929824561,-0.0008771929824561404,-0.0017482517482517483,-0.0035087719298245615,-0.007042253521126761,-0.010416666666666666
abundance,-0.0010995616531368259,-0.0027622247107129527,-0.005463286713286714,-0.010628314973480213,-0.02263016300047476,-0.03160919540229885
abundant,-0.0015361111943204624,-0.003844718178424785,-0.007648601398601399,-0.015238678090575275,-0.031017566070580788,-0.03484195402298851
abundantly,-0.00026520484478127575,-0.0006718924972004478,-0.001311188811188811,-0.00240718074255406,-0.005697103972147493,-0.00718390804597701
abuse,0.0005691519635742744,0.0014184397163120568,0.002840909090909091,0.005813953488372093,0.011235955056179775,0.017241379310344827
abuses,0.0005691519635742744,0.0014184397163120568,0.002840909090909091,0.005813953488372093,0.011235955056179775,0.017241379310344827
abusing,0.0005691519635742744,0.0014184397163120568,0.002840909090909091,0.005813953488372093,0.011235955056179775,0.017241379310344827
abutted,-0.0007017543859649122,-0.0017543859649122807,-0.0034965034965034965,-0.007017543859649123,-0.014084507042253521,-0.020833333333333332
abutting,-0.0010526315789473684,-0.002631578947368421,-0.005244755244755245,-0.010526315789473684,-0.014084507042253521,-0.020833333333333332
abysmal,-0.002456140350877193,-0.0061403508771929825,-0.012237762237762238,-0.02456140350877193,-0.04929577464788732,-0.07291666666666667
abyss,-0.016156726477548452,-0.03344531541620008,-0.06271853146853146,-0.10797633618931049,-0.15943978477607215,-0.1954022988505747
abysses,-0.008382310357567225,-0.02010078387458007,-0.034746503496503496,-0.05514075887392901,-0.08466529514163634,-0.0908764367816092
abyssinian,-0.0003508771929824561,-0.0008771929824561404,-0.0017482517482517483,-0.0035087719298245615,-0.007042253521126761,-0.010416666666666666
abyssward,-0.0003508771929824561,-0.0008771929824561404,-0.0017482517482517483,-0.0035087719298245615,-0.007042253521126761,-0.010416666666666666
academic,-0.0017543859649122807,-0.0043859649122807015,-0.008741258741258742,-0.017543859649122806,-0.035211267605633804,-0.052083333333333336
academies,0.0005691519635742744,0.0014184397163120568,0.002840909090909091,0.005813953488372093,0.011235955056179775,0.017241379310344827
academy,0.004420613286203557,0.009593131765584174,0.019230769230769232,0.027866177070583434,0.0196233581262858,0.03089080459770115
acanthus,0.0005691519635742744,0.0014184397163120568,0.002840909090909091,0.005813953488372093,0.011235955056179775,0.017241379310344827
accaount,-0.0003508771929824561,-0.0008771929824561404,-0.0017482517482517483,-0.0035087719298245615,-0.007042253521126761,-0.010416666666666666
accede,0.00021827477059181824,0.0005412467338559165,0.0010926573426573427,0.0023051815585475315,0.004193701535053014,0.006824712643678161
accelerate,0.0005691519635742744,0.0014184397163120568,0.002840909090909091,0.005813953488372093,0.011235955056179775,0.017241379310344827
accelerated,0.0022766078542970974,0.005673758865248227,0.011363636363636364,0.023255813953488372,0.0449438202247191,0.05172413793103448
accelerating,0.0011383039271485487,0.0028368794326241137,0.005681818181818182,0.005813953488372093,0.011235955056179775,0.017241379310344827
acceleration,0.00021827477059181824,0.0005412467338559165,0.0010926573426573427,0.0023051815585475315,0.004193701535053014,0.006824712643678161
accent,-0.0011852340013380064,-0.0029675251959686445,-0.005900349650349651,-0.008221134230926153,-0.016933059028327268,-0.024425287356321837
accents,-0.0020195908096935565,-0.005057857409481149,-0.010052447552447554,-0.019951040391676868,-0.040908371577781294,-0.059267241379310345
accentuate,-0.0003508771929824561,-0.0008771929824561404,-0.0017482517482517483,-0.0035087719298245615,-0.007042253521126761,-0.010416666666666666
accentuated,-0.0003508771929824561,-0.0008771929824561404,-0.0017482517482517483,-0.0035087719298245615,-0.007042253521126761,-0.010416666666666666
accentuation,0.0005691519635742744,0.0014184397163120568,0.002840909090909091,0.005813953488372093,0.011235955056179775,0.017241379310344827
accept,-0.0008343568083555501,-0.002090332213512505,-0.004152097902097902,-0.008221134230926153,-0.009890805507200506,-0.024425287356321837
acceptance,-0.00048347961537309404,-0.0012131392310563642,-0.002403846153846154,-0.004712362301101591,-0.009890805507200506,-0.014008620689655173
acceptation,0.0005691519635742744,0.0014184397163120568,0.002840909090909091,0.005813953488372093,0.011235955056179775,0.017241379310344827
accepted,0.00017134469640236061,0.0012877939529675258,0.002622377622377622,0.005711954304365566,-0.0015034024370944796,-0.01760057471264368
accepting,-0.00048347961537309404,-0.0012131392310563642,-0.002403846153846154,-0.004712362301101591,-0.009890805507200506,-0.014008620689655173
access,-0.004694005931162567,-0.011739455020530047,-0.023382867132867132,-0.04681762545899633,-0.08735559423959487,-0.1285919540229885
accessible,-0.002105263157894737,-0.005263157894736842,-0.01048951048951049,-0.021052631578947368,-0.04225352112676056,-0.0625
accession,0.0005691519635742744,0.0014184397163120568,0.002840909090909091,0.005813953488372093,0.011235955056179775,0.017241379310344827
accessions,-0.0003508771929824561,-0.0008771929824561404,-0.0017482517482517483,-0.0035087719298245615,-0.007042253521126761,-0.010416666666666666
accessories,-0.0010526315789473684,-0.002631578947368421,-0.005244755244755245,-0.010526315789473684,-0.02112676056338028,-0.020833333333333332
accessory,0.0011383039271485487,0.0028368794326241137,0.005681818181818182,0.011627906976744186,0.02247191011235955,0.034482758620689655
accident,0.013129237436220033,0.03269876819708847,0.05987762237762238,0.11146470828233374,0.20208893812312076,0.2270114942528736
accidental,0.001223976275349729,0.0030421799178798063,0.006118881118881119,0.012729498164014688,0.02381705966133882,0.03771551724137931
accidentally,0.00306403458846319,0.0076334453154162,0.015297202797202796,0.031374949000408,0.06037347681595189,0.09303160919540229
accidents,0.001223976275349729,0.0030421799178798063,0.006118881118881119,0.012729498164014688,0.02381705966133882,0.03771551724137931
acclamation,0.0005691519635742744,0.0014184397163120568,0.002840909090909091,0.005813953488372093,0.011235955056179775,0.017241379310344827
accommodate,0.0005691519635742744,0.0014184397163120568,0.002840909090909091,0.005813953488372093,0.011235955056179775,0.017241379310344827
accommodated,0.0005691519635742744,0.0014184397163120568,0.002840909090909091,0.005813953488372093,0.011235955056179775,0.017241379310344827
accommodating,0.0005691519635742744,0.0014184397163120568,0.002840909090909091,0.005813953488372093,0.011235955056179775,0.017241379310344827
accommodation,0.0005691519635742744,0.0014184397163120568,0.002840909090909091,0.005813953488372093,0.011235955056179775,0.0
accompanied,0.005465057064973191,0.012168719671519225,0.024475524475524476,0.03929008567931457,0.10231049216648204,0.12679597701149425
accompany,0.002931432166072552,0.007297499066815977,0.014641608391608392,0.030171358629130972,0.04628896977369837,0.054956896551724144
accompanying,8.567234820118031e-05,0.00020530048525569267,0.000437062937062937,0.001101591187270502,0.0013451495489792686,0.0032327586206896547
accomplice,0.0005691519635742744,0.0014184397163120568,0.002840909090909091,0.005813953488372093,0.011235955056179775,0.017241379310344827
accomplices,0.0005691519635742744,0.0014184397163120568,0.002840909090909091,0.005813953488372093,0.011235955056179775,0.017241379310344827
accomplish,0.004069736093221101,0.01013437849944009,0.017482517482517484,0.03598531211750306,0.057524924829878143,0.0894396551724138
accomplished,0.007125582881506555,0.017170586039567004,0.027753496503496504,0.06134230926152591,0.06994777654692198,0.12320402298850577
