,spec100,spec250,spec500,spec1000,spec2000,spec3000
LinearSVC,0.5025000000000002,0.48000000000000065,0.4645833333333336,0.5183333333333338,0.5158333333333335,0.5679166666666671
KNeighborsClassifier,0.7416666666666666,0.7520833333333335,0.7050000000000002,0.8404166666666667,0.989583333333333,0.9983333333333333
MultinomialNB,0.4987500000000002,0.47958333333333386,0.4625000000000002,0.5020833333333335,0.5179166666666668,0.5708333333333337
GaussianNB,0.9587499999999993,0.972083333333333,0.913333333333333,0.8891666666666664,0.883333333333333,0.8791666666666661
DecisionTreeClassifier,0.8616666666666667,0.8466666666666661,0.8558333333333329,0.8541666666666665,0.8933333333333329,0.8920833333333335
RandomForestClassifier,0.9187499999999996,0.9512499999999996,0.9574999999999995,0.9612500000000003,0.9624999999999995,0.9595833333333331
avg,0.7470138888888891,0.746944444444445,0.7264583333333331,0.7609027777777778,0.79375,0.8113194444444443
