,spec100,spec250,spec500,spec1000,spec2000,spec3000
LinearSVC,0.49375,0.48375,0.473125,0.50125,0.5240625,0.5478125
KNeighborsClassifier,0.780625,0.7975,0.756875,0.751875,0.99375,0.9503125
MultinomialNB,0.4896875,0.4840625,0.4628125,0.4875,0.5234375,0.5478125
GaussianNB,0.9571875,0.9521875,0.9284375,0.9203125,0.8978125,0.9034375
DecisionTreeClassifier,0.865625,0.845,0.844375,0.848125,0.84125,0.844375
RandomForestClassifier,0.89,0.9290625,0.940625,0.9328125,0.94,0.91875
avg,0.7461458333333333,0.7485937499999997,0.7343750000000001,0.7403124999999997,0.7867187500000002,0.7854166666666669
