,spec100,spec250,spec500,spec1000,spec2000,spec3000
SVC,0.5060000000000007,0.48475000000000107,0.46300000000000097,0.5090000000000006,0.5460000000000012,0.5520000000000016
KNeighborsClassifier,0.7600000000000002,0.7792499999999997,0.7045,0.7282500000000001,0.9924999999999997,0.9527499999999997
GaussianNB,0.9544999999999996,0.948,0.9202499999999998,0.8942499999999999,0.8899999999999999,0.8755000000000004
DecisionTreeClassifier,0.8482500000000007,0.8472500000000005,0.8352500000000009,0.8417500000000006,0.84,0.8350000000000009
RandomForestClassifier,0.8759999999999998,0.9349999999999993,0.9239999999999998,0.9304999999999995,0.9369999999999993,0.9127499999999997
avg,0.7889499999999999,0.7988499999999994,0.7693999999999999,0.7807500000000005,0.8411,0.8256
