,spec100,spec250,spec500,spec1000,spec2000,spec3000
LinearSVC,0.496875,0.476875,0.443125,0.510625,0.595625,0.5675
KNeighborsClassifier,0.6725,0.6725,0.605,0.69625,0.983125,0.978125
MultinomialNB,0.509375,0.47875,0.4475,0.503125,0.598125,0.57
GaussianNB,0.968125,0.96625,0.88875,0.839375,0.825,0.813125
DecisionTreeClassifier,0.858125,0.864375,0.89375,0.879375,0.87875,0.876875
RandomForestClassifier,0.91,0.950625,0.963125,0.969375,0.9775,0.979375
avg,0.7358333333333329,0.7348958333333339,0.7068750000000001,0.7330208333333335,0.8096875000000001,0.7975000000000003
