,spec100,spec250,spec500,spec1000,spec2000,spec3000
a,0.03081542281265126,0.0016636346858603934,-0.0028409090909090606,0.0,0.0,0.0
aa,-0.0003716090672612412,-0.0009293680297397769,-0.001851851851851852,-0.0037174721189591076,-0.007462686567164179,-0.011111111111111112
aaron,-0.0003716090672612412,-0.0009293680297397769,-0.001851851851851852,-0.0037174721189591076,-0.007462686567164179,-0.011111111111111112
aback,0.0005691519635742744,0.0014184397163120568,0.002840909090909091,0.005813953488372093,0.011235955056179775,0.017241379310344827
abandon,0.0032408456104974378,0.008070341954704845,0.01618265993265993,0.03326273018068644,0.05249035720275029,0.09846743295019157
abandoned,-0.00228633694769153,-0.004843259774842469,-0.009617003367003368,-0.016685398115328084,-0.03697803119235285,-0.057088122605363986
abandoning,0.00039508579262606633,0.0009781433731445599,0.001978114478114478,0.004192962738825971,0.007546536978031192,0.012260536398467432
abandonment,-0.0011148272017837235,-0.0027881040892193307,-0.005555555555555556,-0.011152416356877323,-0.022388059701492536,-0.03333333333333333
abaout,-0.006688963210702341,-0.01486988847583643,-0.024074074074074074,-0.040892193308550186,-0.05970149253731343,-0.08888888888888889
abased,0.0005691519635742744,0.0014184397163120568,0.002840909090909091,0.005813953488372093,0.011235955056179775,0.017241379310344827
abasement,0.0005691519635742744,0.0014184397163120568,0.002840909090909091,0.005813953488372093,0.011235955056179775,0.017241379310344827
abate,-0.0007432181345224824,-0.0018587360594795538,-0.003703703703703704,-0.007434944237918215,-0.014925373134328358,-0.022222222222222223
abated,-0.0012888933727319314,-0.003228400432386828,-0.006418350168350168,-0.012773407106423447,-0.026077477779641117,-0.038314176245210725
abatement,-0.0007432181345224824,-0.0018587360594795538,-0.003703703703703704,-0.007434944237918215,-0.014925373134328358,-0.022222222222222223
abbey,0.00019754289631303317,0.0004890716865722799,0.000989057239057239,0.0020964813694129853,0.003773268489015596,0.006130268199233716
abbeys,0.0005691519635742744,0.0014184397163120568,0.002840909090909091,0.005813953488372093,0.011235955056179775,0.017241379310344827
abbott,-0.0003716090672612412,-0.0009293680297397769,-0.001851851851851852,-0.0037174721189591076,-0.007462686567164179,-0.011111111111111112
abbreviation,0.0011383039271485487,0.0014184397163120568,0.002840909090909091,0.005813953488372093,0.011235955056179775,0.017241379310344827
abdomen,0.00019754289631303317,0.0004890716865722799,0.000989057239057239,0.0020964813694129853,0.003773268489015596,0.006130268199233716
abdool,-0.0003716090672612412,-0.0009293680297397769,-0.001851851851851852,-0.0037174721189591076,-0.007462686567164179,-0.011111111111111112
abdul,-0.002601263470828688,-0.006505576208178439,-0.012962962962962963,-0.026022304832713755,-0.05223880597014925,-0.07777777777777778
abernethy,0.0011383039271485487,0.0014184397163120568,0.002840909090909091,0.005813953488372093,0.011235955056179775,0.017241379310344827
aberrancy,-0.0003716090672612412,-0.0009293680297397769,-0.001851851851851852,-0.0037174721189591076,-0.007462686567164179,-0.011111111111111112
aberrant,-0.0007432181345224824,-0.0018587360594795538,-0.003703703703703704,-0.007434944237918215,-0.014925373134328358,-0.022222222222222223
aberration,-0.00017406617094820802,-0.000440296343167497,-0.0008627946127946129,-0.0016209907495461223,-0.003689418078148583,-0.004980842911877396
abetted,-0.0011148272017837235,-0.0027881040892193307,-0.005555555555555556,-0.011152416356877323,-0.022388059701492536,-0.03333333333333333
abeyance,0.0022766078542970974,0.005673758865248227,0.011363636363636364,0.01744186046511628,0.0449438202247191,0.05172413793103448
abhor,-0.0003716090672612412,-0.0009293680297397769,-0.001851851851851852,-0.0037174721189591076,-0.007462686567164179,-0.011111111111111112
abhorred,-0.002601263470828688,-0.006505576208178439,-0.012962962962962963,-0.026022304832713755,-0.05223880597014925,-0.07777777777777778
abhorrence,0.0007666948598873075,0.0019075114028843368,0.00382996632996633,0.007910434857785078,0.01500922354519537,0.02337164750957854
abhorrent,-0.002601263470828688,-0.006505576208178439,-0.012962962962962963,-0.026022304832713755,-0.05223880597014925,-0.07777777777777778
abide,0.0005691519635742744,0.0014184397163120568,0.002840909090909091,0.005813953488372093,0.011235955056179775,0.017241379310344827
abigail,-0.0007432181345224824,-0.0018587360594795538,-0.001851851851851852,-0.0037174721189591076,-0.007462686567164179,-0.011111111111111112
abijah,-0.0003716090672612412,-0.0009293680297397769,-0.001851851851851852,-0.0037174721189591076,-0.007462686567164179,-0.011111111111111112
abilities,0.0005691519635742744,0.0014184397163120568,0.002840909090909091,0.005813953488372093,0.011235955056179775,0.017241379310344827
ability,0.00457669243395902,0.011396293073901236,0.020012626262626263,0.03535921155009942,0.05626362569176589,0.08735632183908046
abject,0.0011383039271485487,0.0028368794326241137,0.005681818181818182,0.005813953488372093,0.011235955056179775,0.034482758620689655
able,-0.012922139546078574,-0.02964354451738775,-0.05688131313131313,-0.11630068297743582,-0.2305886298842864,-0.2747126436781609
abnormal,-0.009788948469010829,-0.02450631442959213,-0.04690656565656565,-0.09942076597216219,-0.18639946335737045,-0.2865900383141763
abnormalities,-0.0037160906726124115,-0.00929368029739777,-0.018518518518518517,-0.03717472118959108,-0.06716417910447761,-0.1111111111111111
