,spec100,spec250,spec500,spec1000,spec2000,spec3000
LinearSVC,0.48625000000000024,0.46458333333333374,0.47041666666666687,0.4970833333333342,0.5570833333333337,0.5412500000000002
KNeighborsClassifier,0.75625,0.7704166666666672,0.6995833333333329,0.81625,0.990833333333333,0.99625
MultinomialNB,0.4891666666666667,0.47375000000000056,0.46166666666666706,0.48791666666666733,0.557916666666667,0.5433333333333336
GaussianNB,0.9633333333333326,0.9641666666666664,0.9187499999999998,0.8875,0.8741666666666661,0.8774999999999997
DecisionTreeClassifier,0.8612499999999996,0.8362500000000003,0.8604166666666662,0.8591666666666665,0.8774999999999997,0.8879166666666666
RandomForestClassifier,0.9191666666666662,0.9458333333333327,0.9712499999999994,0.9583333333333328,0.9654166666666661,0.957916666666666
avg,0.7459027777777778,0.7425000000000006,0.7303472222222226,0.7510416666666674,0.8038194444444449,0.8006944444444446
